doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-buyer-return-request-guide,data/chinh-sach-doi-tra/shopee-buyer-return-request-guide.md,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,2024-v2,public-source
shopee-buyer-return-timeline-policy,data/chinh-sach-doi-tra/shopee-buyer-return-timeline-policy.md,Quy định thời hạn và điều kiện trả hàng dành cho Người mua,https://help.shopee.vn/portal/4/article/77244,2026-09-20,2024-v1,public-source
shopee-general-return-policy,data/chinh-sach-doi-tra/shopee-general-return-policy.md,Quy định chung về Trả hàng Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
shopee-mall-seller-terms-of-service,data/chinh-sach-doi-tra/shopee-mall-seller-terms-of-service.md,Điều khoản Dịch vụ Shopee Mall cho Người bán,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
shopee-return-shipping-fee-policy,data/chinh-sach-doi-tra/shopee-return-shipping-fee-policy.md,Chính sách phí vận chuyển khi trả hàng dành cho Người mua,https://help.shopee.vn/portal/4/article/77247,2026-09-20,not-stated,public-source
shopee-seller-return-processing-policy,data/chinh-sach-doi-tra/shopee-seller-return-processing-policy.md,Quy định thời hạn xử lý khiếu nại trả hàng dành cho Người bán,https://help.shopee.vn/portal/4/article/77254,2026-09-20,2024-v1,public-source
shopee-seller-warranty-responsibility,data/chinh-sach-doi-tra/shopee-seller-warranty-responsibility.md,Quy định bảo hành sản phẩm và nghĩa vụ của Người bán,https://help.shopee.vn/portal/4/article/77246,2026-09-20,2024-v1,public-source
