url,doc_id,title,audience,category,language,document_version,license_or_permission
"https://help.shopee.vn/portal/4/article/79233",shopee-buyer-return-request-guide,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,buyer,returns,vi,not-stated,public-source
"https://help.shopee.vn/portal/4/article/77243",shopee-seller-terms-of-service,Điều khoản Dịch vụ Shopee về thanh toán khi trả hàng,seller,terms,vi,not-stated,public-source
